编导确认,是否自产自投,是否混剪,签名,渠道,广告账户ID,广告计划ID,抖音号名称（id）,平台素材ID,素材预览,素材名称,日期,素材标签,上传人,投放产品,素材投放产品,代理商,来源,生产属性,市场员,首次消耗时间,已上线投放天数,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
子矜,是,否,59f39ee66fbc45b14c5baf4c334715c3,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1783417546631.59f39ee66fbc45b14c5baf4c334715c3.mp4,0701-199双科-自产-自产二-李博-视觉锤-子衿-A3-B2-有-2-2,-,,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2026/7/9,11,11.18,0,0,0,61.77,11180,0,2.21%,0%,-,0,0
嘉丽,是,否,2c12c3e7602c91e3792e73b54f4748ee,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782384911690.2c12c3e7602c91e3792e73b54f4748ee.mp4,0616-199双科-自产-自产二-王晶-曲中雨-嘉丽---无-12,-,,魏嘉丽,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2026/7/6,14,25.53,0,0,0,212.75,0,0,0.00%,0.00%,-,0,0
子矜,是,是,1408b9f7a21861b7dd69befc36727444,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782201526019.1408b9f7a21861b7dd69befc36727444.mov,0128-自产主-李博-8-3--有-9物-子矜- IP-曲中雨-瑞晨混,-,,杜浩正,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,-,-,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
子矜,是,是,372ad15d9d58f9a92261a494362d8951,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782812329451.372ad15d9d58f9a92261a494362d8951.mov,0630-9物-自产-自产二-李博-曲中雨-子衿-A7-B2-有-6-瑞晨混剪-4,-,,龚瑞晨,9元高中物理李博,9元高中物理李博,申坤,自有,自产混剪,wangruixuebj01,2026/7/2,18,492.16,0,0,0,117.15,7132.75,0,1.64%,0%,-,0,0
浩正,是,否,662cb247cb51d725105a9ebd8075c149,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782471951333.662cb247cb51d725105a9ebd8075c149.mp4,0618-9物-自产-自产主--曲中雨-浩正-书展-无--27,-,,杜浩正,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/1,19,11.09,0,0,0,73.93,5545,0,1.33%,0%,-,0,0
子矜,是,否,2c9924d2f1c3428665525ef3a15d3548,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1783417271659.2c9924d2f1c3428665525ef3a15d3548.mp4,0701-9物-自产-自产主-李博-曲中雨-子衿-A6-B1-有-7,-,,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/10,10,14.71,0,0,0,165.28,4903.33,0,3.37%,0%,-,0,0
雅迪,是,否,1e4ce6b618bf89f8f05f40d29ad11945,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1777280290222.1e4ce6b618bf89f8f05f40d29ad11945.mp4,0422-9物-自产-自产二-李博-视觉锤-雅迪-A5-B1B5-无-3,-,,王雅迪,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/15,5,0.01,0,0,0,2.5,0,0,0.00%,0.00%,-,0,0
子矜,是,否,efc468c3e06eba93a6c69453b182af15,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1783417241416.efc468c3e06eba93a6c69453b182af15.mp4,0701-9物-自产-自产主-李博-曲中雨-子衿-A5-B1-无-6,-,,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/14,6,0.45,0,0,0,150,0,0,0.00%,0.00%,-,0,0
子矜,是,是,f55865d3c12ef6a90925c73390f420dd,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782814055850.f55865d3c12ef6a90925c73390f420dd.mov,0630-9物-自产-自产二-李博-曲中雨-子衿-A5效果保证-B1效果方法体系-有-4-魏怡混剪-4,-,,魏怡,9元高中物理李博,9元高中物理李博,申坤,自有,自产混剪,wangruixuebj01,2026/7/3,17,14.31,0,0,0,33.13,1100.77,0,2.78%,0%,-,0,0
子矜,是,否,593ff823acc94e5d4252508f086f73bd,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1783066992739.593ff823acc94e5d4252508f086f73bd.mp4,0624-199双科-自产-自产主-李博-曲中雨-子衿---无-3,-,,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2026/7/11,9,9.8,0,0,0,130.67,9800,0,2.67%,0%,-,0,0
浩正,是,否,49ab68ce5d52c114a00e400bcf725b2d,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1783330014635.49ab68ce5d52c114a00e400bcf725b2d.mp4,0527-9物-自产-自产主-李博-曲中雨-浩正-A5-B1-无-13,-,,韩晨国,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/9,11,0.77,0,0,0,30.8,0,0,0.00%,0.00%,-,0,0
子矜,是,否,f1d476a842a6a11cbe18605c7a31fdc3,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781350868420.f1d476a842a6a11cbe18605c7a31fdc3.mp4,0603-199双科-自产-自产主-李博-巽阳-子衿-A1-B4-无-HJ-1,-,,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2026/6/23,27,118.73,0,0,0,184.36,23746,0,0.78%,0%,-,0,0
浩正,是,否,71cf5a58838089a5a7cb4a4fb3e0ca6f,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1783330014839.71cf5a58838089a5a7cb4a4fb3e0ca6f.mp4,0527-9物-自产-自产二-李博-曲中雨-浩正-A5-B1-有-13-直播间,-,,韩晨国,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/9,11,1.62,0,0,0,27,1620,0,1.67%,0%,-,0,0
子矜,是,否,c8d85e0f2a43603e4807b1cdd486ed21,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1775548229436.c8d85e0f2a43603e4807b1cdd486ed21.mp4,0401-9物-自产-自产二-李博-曲中雨-子衿-A3-B1-有-23-前贴1,-,,贾子矜,9元高中物理李博,9元高中物理李博,玄武,自有,自产原创,wangruixuebj01,2026/5/8,73,1680.89,54,6,0.03,156.59,21549.87,280.15,1.24%,4.51%,-,0.56,692.31
子矜,是,否,710d87a30575a26de50bca17b053d1fc,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782895269726.710d87a30575a26de50bca17b053d1fc.mp4,0624-9物-自产-自产主-李博-曲中雨-子衿---无-1,-,,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/7/7,13,0.23,0,0,0,25.56,0,0,0.00%,0.00%,-,0,0
浩正,是,否,c05a8d2f96199257ca4b341272e579bb,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781580821955.c05a8d2f96199257ca4b341272e579bb.mp4,0610-9物-自产-自产主-李博-曲中雨-浩正-A5-B1-有-13,-,,杜浩正,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,2026/6/17,33,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
