文件命名,上传人,状态,编导,上传类型
0521-状元笔记-自产-自产主--曲中雨-浩正---有-6,hancg,未同步,浩正,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-浩正---有 -9,hancg,未同步,浩正,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-浩正---无-8,hancg,未同步,浩正,拒审后二次上传
0521-状元笔记-自产-自产二--曲中雨-浩正---有-9,hancg,未同步,浩正,拒审后二次上传
0521-状元笔记-自产-自产二--曲中雨-浩正---有-6,hancg,未同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A7-B1-有-7,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-有-9,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-有-6,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A7-B1-有-7,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-有-6,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A7-B1-无-7,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A6-B2-无-10,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-无-9,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-无-6,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A7-B1-无-7,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A6-B2-无-10,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-无-9,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-无-8,hancg,已同步,浩正,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-无-6,hancg,已同步,浩正,拒审后二次上传
0429-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-有-23,hancg,未同步,浩正,拒审后二次上传
0429-199双科-自产-自产主-李博-曲中雨-浩正-A5-B4-无-21,hancg,未同步,浩正,拒审后二次上传
0508-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-无-26,hancg,未同步,浩正,拒审后二次上传
0508-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-无-26,hancg,未同步,浩正,拒审后二次上传
0508-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-无-27,hancg,未同步,浩正,拒审后二次上传
0508-199双科-自产-自产主-李博-曲中雨-浩正-A5-B2-无-29,hancg,未同步,浩正,拒审后二次上传
0508-199双科-自产-自产主-李博-曲中雨-浩正-A6-B2-无-28,hancg,未同步,浩正,拒审后二次上传
