文件命名,上传人,状态,编导,上传类型
0521-状元笔记-自产-自产主--曲中雨-小敏-A7-B1-无-21,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产二--曲中雨-小敏-A5-B2-无-22,hancg,未同步,小敏,拒审后二次上传
0520-状元笔记-自产-自产二-李博-曲中雨-小敏-A5-B2-无-9,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-小敏-A7-B1-有-21,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-小敏-A6-B1-有-25,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产主--曲中雨-小敏-A5-B2-有-22,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产二--曲中雨-小敏-A7-B1B5-有-23,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产二--曲中雨-小敏-A7-B1-有-24,hancg,未同步,小敏,拒审后二次上传
0521-状元笔记-自产-自产二--曲中雨-小敏-A5-B2-有-22,hancg,未同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A7-B1-无-25,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A7-B1-无-24,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A1-B6-无-23,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-无-25,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-无-24,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-无-22,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A1-B6-无-23,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A7-B1-有-25,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A7-B1-有-24,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A7-B1-有-22,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产主-李博-曲中雨-小敏-A1-B6-有-23,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-有-25,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-有-24,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A7-B1-有-22,hancg,已同步,小敏,拒审后二次上传
0520-199双科-自产-自产二-李博-曲中雨-小敏-A1-B6-有-23,hancg,已同步,小敏,拒审后二次上传
0604-状元笔记-自产-自产主--视觉锤-小敏---有-40,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---有-38,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---有-37,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---有-36,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---有-35,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---有-34,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---有-33,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-40,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-38,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-37,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-36,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-35,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-34,quminbj,未同步,小敏,新素材
0604-状元笔记-自产-自产主--视觉锤-小敏---无-33,quminbj,未同步,小敏,新素材
